,COUNTY,Households_With_Cars_No_Motor_Cars_2006,Households_With_Cars_No_Motor_Cars_2011,Households_With_Cars_One_Motor_Cars_2006,Households_With_Cars_One_Motor_Cars_2011,Households_With_Cars_Two_Motor_Cars_2006,Households_With_Cars_Two_Motor_Cars_2011,Households_With_Cars_Three_Motor_Cars_2006,Households_With_Cars_Three_Motor_Cars_2011,Households_With_Cars_Four_Or_More_Motor_Cars_2011,Households_With_Cars_Total_2006,Households_With_Cars_Total_2011,Perc_Of_Households_With_Cars_No_Motor_Cars_2006,Perc_Of_Households_With_Cars_No_Motor_Cars_2011,Perc_Of_Households_With_Cars_One_Motor_Cars_2006,Perc_Of_Households_With_Cars_One_Motor_Cars_2011,Perc_Of_Households_With_Cars_Two_Motor_Cars_2006,Perc_Of_Households_With_Cars_Two_Motor_Cars_2011,Perc_Of_Households_With_Cars_Three_Motor_Cars_2006,Perc_Of_Households_With_Cars_Three_Motor_Cars_2011,Perc_Of_Households_With_Cars_Four_Or_More_Motor_Cars_2011,Households_With_A_Personal_Computer_Yes_2006,Households_With_A_Personal_Computer_Yes_2011,Households_With_A_Personal_Computer_No_2006,Households_With_A_Personal_Computer_No_2011,Households_With_A_Personal_Computer_Not_Stated_2006,Households_With_A_Personal_Computer_Not_Stated_2011,Households_With_A_Personal_Computer_Total_2006,Households_With_A_Personal_Computer_Total_2011,Perc_Of_Households_With_A_Personal_Computer_Yes_2006,Perc_Of_Households_With_A_Personal_Computer_Yes_2011,Perc_Of_Households_With_A_Personal_Computer_No_2006,Perc_Of_Households_With_A_Personal_Computer_No_2011,Perc_Of_Households_With_A_Personal_Computer_Not_Stated_2006,Perc_Of_Households_With_A_Personal_Computer_Not_Stated_2011,Households_With_Internet_Access_Broadband_2006,Households_With_Internet_Access_Broadband_2011,Households_With_Internet_Access_Other_Connection_2006,Households_With_Internet_Access_Other_Connection_2011,Households_With_Internet_Access_No_Access_To_Internet_2006,Households_With_Internet_Access_No_Access_To_Internet_2011,Households_With_Internet_Access_Not_Stated_2006,Households_With_Internet_Access_Not_Stated_2011,Households_With_Internet_Access_Total_2006,Households_With_Internet_Access_Total_2011,Perc_Of_Households_With_Internet_Access_Broadband_2006,Perc_Of_Households_With_Internet_Access_Broadband_2011,Perc_Of_Households_With_Internet_Access_Other_Connection_2006,Perc_Of_Households_With_Internet_Access_Other_Connection_2011,Perc_Of_Households_With_Internet_Access_No_Access_To_Internet_2006,Perc_Of_Households_With_Internet_Access_No_Access_To_Internet_2011,Perc_Of_Households_With_Internet_Access_Not_Stated_2006,Perc_Of_Households_With_Internet_Access_Not_Stated_2011,Perc_Of_Households_With_Internet_Access_2006,Perc_Of_Households_With_Internet_Access_2011
0,Dublin,111370,114228,166987,195764,115134,128980,26038,21714,5775,419529,466461,26.546436599138556,24.488220880202203,39.80344624567074,41.96792443526897,27.443633217250774,27.65075751241797,6.206483937939928,4.655051547717816,1.238045624393036,254506,361365,152235,92841,12788,12255,419529,466461,60.66469779204775,77.46949905779904,36.287121986799484,19.90327165615132,3.048180221152769,2.6272292860496376,134923,339593,81709,24082,178946,90427,23951,12359,419529,466461,32.16058961359048,72.80201345878862,19.476365161883923,5.162703848767636,42.654023917297735,19.385757866145294,5.709021307227868,2.6495248262984474,51.6369547754744,77.96471730755627
1,Cork,29744,29985,61119,71370,58508,67615,17171,13677,4908,166542,187555,17.859759099806656,15.987310388952574,36.698850740353784,38.05283783423529,35.13107804637869,36.050758444189704,10.310312113460869,7.292260936791875,2.6168323958305564,92841,134857,69868,48762,3833,3936,166542,187555,55.74629823107684,71.90264189171177,41.952180230812644,25.998773693050037,2.3015215381105065,2.098584415238197,29671,119610,47765,14182,79015,49524,10091,4239,166542,187555,17.815926312882034,63.773293167337584,28.680452978828164,7.561515288848604,47.44448847738108,26.40505451734158,6.05913223090872,2.260137026472235,46.4963792917102,71.33480845618618
2,Waterford,7817,7511,15256,17485,12212,13917,3159,2466,860,38444,42239,20.333472063260846,17.782144463647338,39.683695765268965,41.39539288335425,31.76568515242951,32.94822320604181,8.217147019040683,5.838206396931746,2.0360330500248587,20955,30170,16580,11229,909,840,38444,42239,54.50785558214546,71.42688037122092,43.127666215794406,26.584436184568766,2.3644782020601394,1.988683444210327,7615,26518,9761,3211,19776,11512,1292,998,38444,42239,19.808032462803038,62.78084234948744,25.390177921132036,7.601979213523046,51.44105712204765,27.254433106844385,3.360732494017272,2.3627453301451267,45.19821038393507,70.3828215630105
3,Galway,14405,13417,29487,35250,27128,32123,7186,5722,1829,78206,88341,18.419302866787714,15.187738422702935,37.70426821471498,39.902197167792984,34.68787561056696,36.36250438641175,9.188553307930338,6.477173679265573,2.0703863438267622,43474,63429,32842,23181,1890,1731,78206,88341,55.58908523642687,71.80018338031039,41.994220392297265,26.240364043875434,2.4166943712758613,1.9594525758141745,13364,55075,22426,8011,38952,23423,3464,1832,78206,88341,17.088202951180218,62.34364564584961,28.675549190599188,9.068269546416726,49.80692018515204,26.514302532233053,4.4293276730685625,2.073782275500617,45.7637521417794,71.41191519226633
4,Limerick,13458,12295,23865,27412,20627,23386,6006,4671,1657,63956,69421,21.042591781850025,17.710779159044094,37.31471636750266,39.48661067976549,32.25186065419976,33.68721280304231,9.390831196447557,6.72851154549776,2.386885812650351,33748,47869,28929,20048,1279,1504,63956,69421,52.767527675276746,68.9546390861555,45.232659953718176,28.878869506345346,1.999812371005066,2.166491407499172,10227,41222,16783,6094,35097,20490,1849,1615,63956,69421,15.99068109325161,59.37972659569871,26.241478516480083,8.778323562034544,54.876790293326664,29.51556445455986,2.8910500969416475,2.32638538770689,42.23215960973169,68.15805015773326
5,Carlow,2968,2900,6662,7909,5720,6748,1724,1300,508,17074,19365,17.38315567529577,14.975471210947585,39.018390535316854,40.84172476116705,33.501229940260046,34.84637232119804,10.097223849127328,6.713142266976504,2.6232894397108186,9248,13623,7424,5266,402,476,17074,19365,54.164226309007844,70.34856700232378,43.48131662176409,27.193390136844826,2.354457069228066,2.458042860831397,2213,11158,4916,2106,8802,5612,1143,489,17074,19365,12.961227597516691,57.61941647301833,28.792315801803912,10.875290472501936,51.552067471008556,28.98011877097857,6.694389129670844,2.525174283501162,41.753543399320606,68.49470694552026
6,Kildare,7878,7871,21563,26579,24801,29245,6336,5112,1697,60578,70504,13.004721185909077,11.16390559400885,35.59543068440688,37.69857029388404,40.94060550034666,41.479916033132874,10.459242629337382,7.250652445251333,2.406955633722909,39134,56099,20167,13117,1277,1288,60578,70504,64.60101026775396,79.56853511857483,33.2909637162006,18.604618177692046,2.1080260160454287,1.8268467037331215,14385,50093,18265,5562,24871,13480,3057,1369,60578,70504,23.74624451120869,71.04986951094973,30.151210010234742,7.888914104164304,41.05615900161775,19.119482582548507,5.046386476938823,1.9417338023374562,53.897454521443436,78.93878361511403
7,Kilkenny,4509,4373,10921,13074,10829,12736,3219,2470,930,29478,33583,15.296153063301446,13.021469195724029,37.04796797611778,38.93041121996248,36.7358708189158,37.923949617365935,10.92000814166497,7.354911711282494,2.769258255665069,16601,24210,12273,8806,604,567,29478,33583,56.31657507293575,72.09004555876484,41.63443924282515,26.221600214394186,2.0489856842390934,1.6883542268409613,3919,19816,9545,3722,14283,9342,1731,703,29478,33583,13.294660424723522,59.00604472500967,32.38008005970554,11.08298841675848,48.45308365560757,27.817645832712977,5.872175859963362,2.093321025518864,45.674740484429066,70.08903314176816
8,Laois,3266,3704,8500,11224,8278,10439,2377,1840,709,22421,27916,14.566700860800141,13.268376558246167,37.91088711475849,40.206333285571,36.920743945408326,37.3943258346468,10.60166807903305,6.591202177962459,2.539762143573578,12008,19825,9937,7448,476,643,22421,27916,53.55693323223763,71.01662129244878,44.32005708933589,26.68004012036108,2.123009678426475,2.303338587190142,2671,16003,6575,3403,11798,7863,1377,647,22421,27916,11.912938762767048,57.3255480727898,29.3251862093573,12.190141854133831,52.62031131528477,28.166642785499356,6.141563712590874,2.3176672875770166,41.238124972124346,69.51568992692363
9,Longford,2451,2524,4841,6288,3733,4548,1017,789,261,12042,14410,20.35376183358246,17.515614156835532,40.200963295133704,43.63636363636363,30.99983391463212,31.56141568355309,8.44544095665172,5.475364330326162,1.8112421929215823,5778,9395,5923,4700,341,315,12042,14410,47.98206278026906,65.19777931991672,49.18618169739246,32.61623872310896,2.831755522338482,2.1859819569743233,1189,7393,3326,1554,6610,5090,917,373,12042,14410,9.873775120411892,51.30464954892435,27.61999667829264,10.784177654406662,54.8912140840392,35.32269257460097,7.615014117256269,2.5884802220680085,37.493771798704536,62.08882720333102
10,Louth,8230,8625,15710,18314,11829,13875,2829,2331,752,38598,43897,21.322348308202496,19.64826753536688,40.70159075599772,41.72039091509671,30.646665630343538,31.60808255689455,7.3293953054562415,5.310157869558284,1.713101123083582,21801,31523,15917,11373,880,1001,38598,43897,56.482201150318666,71.81128550926032,41.23788797347013,25.908376426635076,2.279910876211203,2.2803380641046087,6821,27689,10594,3263,18749,11915,2434,1030,38598,43897,17.671900098450696,63.077203453538964,27.44701798020623,7.433309793379958,48.575055702368,27.143084948857556,6.306026218975076,2.346401804223523,45.118918078656925,70.51051324691893
11,Meath,5485,6111,18510,22522,23405,26858,6175,4736,1695,53575,61922,10.23798413439104,9.868867284648429,34.54969668688754,36.37156422596169,43.68642090527298,43.373922030942154,11.525898273448437,7.648331772229579,2.7373146862181454,33801,48280,18766,12510,1008,1132,53575,61922,63.09099393373775,77.96905784696877,35.027531497900135,20.20283582571622,1.881474568362109,1.8281063273150093,9889,41626,18298,5805,22665,13263,2723,1228,53575,61922,18.45823611759216,67.22328090177966,34.15398973401773,9.374697199702851,42.30517965468969,21.41888181906269,5.08259449370042,1.9831400794547978,52.61222585160989,76.59797810148251
12,Offaly,3819,3743,8976,10758,8375,9577,2363,1819,646,23533,26543,16.228275188033827,14.101646385110952,38.14218331704415,40.530460008288436,35.58832278077593,36.08107598990318,10.041218714146092,6.853030930942245,2.4337866857551895,12143,18041,10839,8012,551,490,23533,26543,51.599881018144735,67.96895603360585,46.058726044278245,30.184982858003995,2.3413929375770195,1.8460611083901592,2483,14171,6680,3175,12723,8598,1647,599,23533,26543,10.551140951004971,53.388840748973365,28.38567118514427,11.961722488038278,54.064505162962654,32.39272124477263,6.998682700888114,2.2567155182157252,38.936812136149236,65.35056323701164
