,COUNTY,Year,Households_With_A_Personal_Computer_Yes,Households_With_A_Personal_Computer_No,Households_With_A_Personal_Computer_Not_Stated,Households_With_A_Personal_Computer_Total,Perc_Of_Households_With_A_Personal_Computer_Yes,Perc_Of_Households_With_A_Personal_Computer_No,Perc_Of_Households_With_A_Personal_Computer_Not_Stated,Households_With_Internet_Access_Broadband,Households_With_Internet_Access_Other_Connection,Households_With_Internet_Access_No_Access_To_Internet,Households_With_Internet_Access_Not_Stated,Households_With_Internet_Access_Total,Perc_Of_Households_With_Internet_Access_Broadband,Perc_Of_Households_With_Internet_Access_Other_Connection,Perc_Of_Households_With_Internet_Access,Perc_Of_Households_With_Internet_Access_No_Access_To_Internet,Perc_Of_Households_With_Internet_Access_Not_Stated
0,Dublin,2006.0,254506.0,152235.0,12788.0,419529.0,60.66469779204775,36.287121986799484,3.048180221152769,134923.0,81709.0,178946.0,23951.0,419529.0,32.16058961359048,19.476365161883923,51.6369547754744,42.654023917297735,5.709021307227868
1,Dublin,2011.0,361365.0,92841.0,12255.0,466461.0,77.46949905779904,19.90327165615132,2.6272292860496376,339593.0,24082.0,90427.0,12359.0,466461.0,72.80201345878862,5.162703848767636,77.96471730755627,19.385757866145294,2.6495248262984474
2,Cork,2006.0,92841.0,69868.0,3833.0,166542.0,55.74629823107684,41.952180230812644,2.3015215381105065,29671.0,47765.0,79015.0,10091.0,166542.0,17.815926312882034,28.680452978828164,46.4963792917102,47.44448847738108,6.05913223090872
3,Cork,2011.0,134857.0,48762.0,3936.0,187555.0,71.90264189171177,25.998773693050037,2.098584415238197,119610.0,14182.0,49524.0,4239.0,187555.0,63.773293167337584,7.561515288848604,71.33480845618618,26.40505451734158,2.260137026472235
4,Waterford,2006.0,20955.0,16580.0,909.0,38444.0,54.50785558214546,43.127666215794406,2.3644782020601394,7615.0,9761.0,19776.0,1292.0,38444.0,19.808032462803038,25.390177921132036,45.19821038393507,51.44105712204765,3.360732494017272
5,Waterford,2011.0,30170.0,11229.0,840.0,42239.0,71.42688037122092,26.584436184568766,1.988683444210327,26518.0,3211.0,11512.0,998.0,42239.0,62.78084234948744,7.601979213523046,70.3828215630105,27.254433106844385,2.3627453301451267
6,Galway,2006.0,43474.0,32842.0,1890.0,78206.0,55.58908523642687,41.994220392297265,2.4166943712758613,13364.0,22426.0,38952.0,3464.0,78206.0,17.088202951180218,28.675549190599188,45.7637521417794,49.80692018515204,4.4293276730685625
7,Galway,2011.0,63429.0,23181.0,1731.0,88341.0,71.80018338031039,26.240364043875434,1.9594525758141745,55075.0,8011.0,23423.0,1832.0,88341.0,62.34364564584961,9.068269546416726,71.41191519226633,26.514302532233053,2.073782275500617
8,Limerick,2006.0,33748.0,28929.0,1279.0,63956.0,52.767527675276746,45.232659953718176,1.999812371005066,10227.0,16783.0,35097.0,1849.0,63956.0,15.99068109325161,26.241478516480083,42.23215960973169,54.876790293326664,2.8910500969416475
9,Limerick,2011.0,47869.0,20048.0,1504.0,69421.0,68.9546390861555,28.878869506345346,2.166491407499172,41222.0,6094.0,20490.0,1615.0,69421.0,59.37972659569871,8.778323562034544,68.15805015773326,29.51556445455986,2.32638538770689
10,Carlow,2006.0,9248.0,7424.0,402.0,17074.0,54.164226309007844,43.48131662176409,2.354457069228066,2213.0,4916.0,8802.0,1143.0,17074.0,12.961227597516691,28.792315801803912,41.753543399320606,51.552067471008556,6.694389129670844
11,Carlow,2011.0,13623.0,5266.0,476.0,19365.0,70.34856700232378,27.193390136844826,2.458042860831397,11158.0,2106.0,5612.0,489.0,19365.0,57.61941647301833,10.875290472501936,68.49470694552026,28.98011877097857,2.525174283501162
12,Kildare,2006.0,39134.0,20167.0,1277.0,60578.0,64.60101026775396,33.2909637162006,2.1080260160454287,14385.0,18265.0,24871.0,3057.0,60578.0,23.74624451120869,30.151210010234742,53.897454521443436,41.05615900161775,5.046386476938823
13,Kildare,2011.0,56099.0,13117.0,1288.0,70504.0,79.56853511857483,18.604618177692046,1.8268467037331215,50093.0,5562.0,13480.0,1369.0,70504.0,71.04986951094973,7.888914104164304,78.93878361511403,19.119482582548507,1.9417338023374562
14,Kilkenny,2006.0,16601.0,12273.0,604.0,29478.0,56.31657507293575,41.63443924282515,2.0489856842390934,3919.0,9545.0,14283.0,1731.0,29478.0,13.294660424723522,32.38008005970554,45.674740484429066,48.45308365560757,5.872175859963362
15,Kilkenny,2011.0,24210.0,8806.0,567.0,33583.0,72.09004555876484,26.221600214394186,1.6883542268409613,19816.0,3722.0,9342.0,703.0,33583.0,59.00604472500967,11.08298841675848,70.08903314176816,27.817645832712977,2.093321025518864
16,Laois,2006.0,12008.0,9937.0,476.0,22421.0,53.55693323223763,44.32005708933589,2.123009678426475,2671.0,6575.0,11798.0,1377.0,22421.0,11.912938762767048,29.3251862093573,41.238124972124346,52.62031131528477,6.141563712590874
17,Laois,2011.0,19825.0,7448.0,643.0,27916.0,71.01662129244878,26.68004012036108,2.303338587190142,16003.0,3403.0,7863.0,647.0,27916.0,57.3255480727898,12.190141854133831,69.51568992692363,28.166642785499356,2.3176672875770166
18,Longford,2006.0,5778.0,5923.0,341.0,12042.0,47.98206278026906,49.18618169739246,2.831755522338482,1189.0,3326.0,6610.0,917.0,12042.0,9.873775120411892,27.61999667829264,37.493771798704536,54.8912140840392,7.615014117256269
19,Longford,2011.0,9395.0,4700.0,315.0,14410.0,65.19777931991672,32.61623872310896,2.1859819569743233,7393.0,1554.0,5090.0,373.0,14410.0,51.30464954892435,10.784177654406662,62.08882720333102,35.32269257460097,2.5884802220680085
20,Louth,2006.0,21801.0,15917.0,880.0,38598.0,56.482201150318666,41.23788797347013,2.279910876211203,6821.0,10594.0,18749.0,2434.0,38598.0,17.671900098450696,27.44701798020623,45.118918078656925,48.575055702368,6.306026218975076
21,Louth,2011.0,31523.0,11373.0,1001.0,43897.0,71.81128550926032,25.908376426635076,2.2803380641046087,27689.0,3263.0,11915.0,1030.0,43897.0,63.077203453538964,7.433309793379958,70.51051324691893,27.143084948857556,2.346401804223523
22,Meath,2006.0,33801.0,18766.0,1008.0,53575.0,63.09099393373775,35.027531497900135,1.881474568362109,9889.0,18298.0,22665.0,2723.0,53575.0,18.45823611759216,34.15398973401773,52.61222585160989,42.30517965468969,5.08259449370042
23,Meath,2011.0,48280.0,12510.0,1132.0,61922.0,77.96905784696877,20.20283582571622,1.8281063273150093,41626.0,5805.0,13263.0,1228.0,61922.0,67.22328090177966,9.374697199702851,76.59797810148251,21.41888181906269,1.9831400794547978
24,Offaly,2006.0,12143.0,10839.0,551.0,23533.0,51.599881018144735,46.058726044278245,2.3413929375770195,2483.0,6680.0,12723.0,1647.0,23533.0,10.551140951004971,28.38567118514427,38.936812136149236,54.064505162962654,6.998682700888114
25,Offaly,2011.0,18041.0,8012.0,490.0,26543.0,67.96895603360585,30.184982858003995,1.8460611083901592,14171.0,3175.0,8598.0,599.0,26543.0,53.388840748973365,11.961722488038278,65.35056323701164,32.39272124477263,2.2567155182157252
26,Westmeath,2006.0,14578.0,11652.0,651.0,26881.0,54.23161340723931,43.34660168892526,2.421784903835423,3678.0,7733.0,13802.0,1668.0,26881.0,13.682526691715339,28.76753096982999,42.45005766154533,51.3448160410699,6.20512629738477
